run_id,domain,family,case_id,case_label,operation,mmap_target,host,torchfits_method,torchfits_time_s,torchfits_peak_rss_mb,best_library,best_method,best_time_s,best_peak_rss_mb,lag_ratio,pct_behind,n_points,perceived_impact
exhaustive_mps_20260718_180230,fits,smart,compressed_rice_1::read_full_gpu,compressed_rice_1 [read_full @ mps],read_full,off,NRC-054711,torchfits_device,0.014534292015014216,477.1875,fitsio,fitsio_torch_device,0.012825624988181517,477.1875,1.13322290558216,13.322290558216011,,visible
exhaustive_mps_20260718_180230,fits,smart,compressed_hcompress_1::read_full_gpu,compressed_hcompress_1 [read_full @ mps],read_full,on,NRC-054711,torchfits_device,0.06501441600266844,434.625,fitsio,fitsio_torch_device,0.058489832998020574,434.625,1.1115507203597021,11.155072035970214,,visible
exhaustive_mps_20260718_180230,fits,smart,scaled_large::read_full_gpu,scaled_large [read_full @ mps],read_full,off,NRC-054711,torchfits_device,0.008890333003364503,612.0,fitsio,fitsio_torch_device,0.008409958012634888,612.0,1.0571197846657394,5.7119784665739415,,visible
exhaustive_mps_20260718_180230,fits,specialized,tiny_int16_3d::read_full_gpu,tiny_int16_3d [read_full @ mps],read_full,off,NRC-054711,torchfits_specialized_device,0.0027858329995069653,500.703125,fitsio,fitsio_torch_device_specialized,0.0007841670012567192,500.703125,3.552601671636708,255.26016716367081,,visible
exhaustive_mps_20260718_180230,fits,specialized,repeated_cutouts_50x_100x100::repeated_cutouts_50x_100x100,repeated_cutouts_50x_100x100 [repeated_cutouts_50x_100x100],repeated_cutouts_50x_100x100,n/a,NRC-054711,torchfits_specialized,0.01564383300137706,818.15625,fitsio,fitsio_torch,0.01366533400141634,811.15625,1.1447823375378647,14.478233753786473,,visible
exhaustive_mps_20260718_180230,fits,specialized,medium_int64_2d::read_full_gpu,medium_int64_2d [read_full @ mps],read_full,off,NRC-054711,torchfits_specialized_device,0.006839000008767471,608.25,fitsio,fitsio_torch_device_specialized,0.006507707992568612,608.25,1.050907633928439,5.090763392843889,,visible
exhaustive_mps_20260718_180230,fits,specialized,compressed_rice_1::read_full_gpu,compressed_rice_1 [read_full @ mps],read_full,on,NRC-054711,torchfits_specialized_device,0.022582583012990654,434.75,fitsio,fitsio_torch_device_specialized,0.02222366599016823,434.75,1.016150216754572,1.6150216754571955,,visible
exhaustive_mps_20260718_180230,fitstable,specialized,mixed_1000000::predicate_filter,mixed_1000000 [predicate_filter],predicate_filter,off,NRC-054711,torchfits_specialized,0.050472458999138325,1109.59375,astropy,astropy,0.03493712501949631,1109.59375,1.4446654946843132,44.46654946843132,1000000,visible
exhaustive_mps_20260718_180230,fitstable,specialized,narrow_1000000::predicate_filter,narrow_1000000 [predicate_filter],predicate_filter,off,NRC-054711,torchfits_specialized,0.03270883299410343,556.984375,astropy,astropy,0.023093625000910833,556.984375,1.4163576741552426,41.63576741552426,1000000,visible
exhaustive_mps_20260718_180230,fitstable,specialized,narrow_1000000::read_full,narrow_1000000 [read_full],read_full,off,NRC-054711,torchfits_specialized,0.019640207989141345,633.484375,fitsio,fitsio,0.018380708002950996,633.484375,1.0685229309985305,6.852293099853046,1000000,visible
